     read       raw corrected
       id    length    length
--------- --------- ---------
      773      1172      1141
      774      3113      2956
      776     11574     11349
      777      3653      3575
      778      4493      4400
      780      2277      2258
      781      1883      1803
      782      7087      6545
      784      1480      1462
      785      3266      3255
      787       512       490
      788      3975      3975
      789       728       727
      790      1718      1698
      791      5925      5810
      792      4417      4096
      793      3604      3574
      794       888       883
      795      7496      7512
      797     21092     20978
      799      3601      3590
      801      3154      3071
      802      1869      1839
      803     11086     10712
      804       379       368
      805      3189      3146
      808      2752      2671
      809      1289      1274
      810      5904      5906
      811       640       640
      812      8125      7980
      813       474       469
      814      5086      5034
      815      1253      1252
      816       665       663
      817      3644      3650
      818       220       212
      819      1706      1706
      820     12898     12299
      821      8936      8919
      822     10094      9923
      823      2354      2296
      824      3283      3252
      826      1253      1252
      827      2461      2447
      829      3677      3677
      830       532       527
      831      1486      1463
      832     13434     13434
      833       472       470
      834       611       599
      835      8714      8712
      836      3565      3523
      837      2704      2704
      838      4592      4508
      840      7191      7087
      841      9045      8957
      842     11783     11685
      843       293       285
      844      1302      1299
      846       768       751
      847       827       816
      848      3118      3049
      850      2060      2042
      851       631       630
      852      5916      5904
      853      4521      4495
      854       267       270
      855      7359      7322
      856      1032      1023
      857      3615      3583
      858     20707     19987
      859      2556      2519
      861      1840      1809
      862     13743     13426
      863      1734      1723
      864      7496      7175
      865      1385      1349
      866       305       294
      867      4760      4736
      869      6953      6760
      870      9797      9668
      871     19036     18687
      873     16900     16626
      874      2282      2262
      875      9686      9565
      876      3078      3063
      877      3796      3788
      878      4031      4021
      879      3042      2903
      880      9516      9311
      881     35897     34792
      882     11738     11336
      883      5725      5548
      884       718       718
      885      1184      1165
      886       816       826
      887      5116      4934
      889     28584     27886
      891      4211      4102
      892      2578      2452
      893      8662      8470
      894       745       745
      895       752       751
      896       460       457
      897     16728     16820
      898       723       695
      900       899       898
      901       567       558
      902      6766      6603
      903      9663      9611
      904      2162      2151
      905      3757      3701
